number,zip_file,bill_file,act_file,bill_url,act_url,status
50,AMENDMENT_50_11091984.zip,MISSING,AMENDMENT_50_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030216-2.pdf,MISSING_BILL
51,AMENDMENT_51_16061986.zip,MISSING,AMENDMENT_51_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030288.pdf,MISSING_BILL
52,AMENDMENT_52_01031985.zip,MISSING,AMENDMENT_52_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030250.pdf,MISSING_BILL
53,AMENDMENT_53_20021987.zip,MISSING,AMENDMENT_53_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030270-1.pdf,MISSING_BILL
54,AMENDMENT_54_14031987.zip,MISSING,AMENDMENT_54_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030282.pdf,MISSING_BILL
55,AMENDMENT_55_23121986.zip,MISSING,AMENDMENT_55_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030273-2.pdf,MISSING_BILL
56,AMENDMENT_56_23051987.zip,MISSING,AMENDMENT_56_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030218-2.pdf,MISSING_BILL
57,AMENDMENT_57_15091987.zip,MISSING,AMENDMENT_57_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030210.pdf,MISSING_BILL
58,AMENDMENT_58_09121987.zip,MISSING,AMENDMENT_58_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030274.pdf,MISSING_BILL
59,AMENDMENT_59_30031988.zip,MISSING,AMENDMENT_59_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030242-1.pdf,MISSING_BILL
60,AMENDMENT_60_20121988.zip,MISSING,AMENDMENT_60_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030222-1.pdf,MISSING_BILL
61,AMENDMENT_61_28031989.zip,MISSING,AMENDMENT_61_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030259.pdf,MISSING_BILL
62,AMENDMENT_62_25011990.zip,MISSING,AMENDMENT_62_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030297-2.pdf,MISSING_BILL
